href,video,gloss,grammar-category,category
/es.es/word/14920/cristianismo/0/?q=cristianismo,https://media.spreadthesign.com/video/mp4/5/271471.mp4,cristianismo,nombre,religion
/es.es/word/11025/elfo/0/?q=elfo,https://media.spreadthesign.com/video/mp4/5/148342.mp4,elfo,nombre,religion
/es.es/word/11364/sabbat/0/?q=sabbat,https://media.spreadthesign.com/video/mp4/5/163448.mp4,sabbat,nombre,religion
/es.es/word/11366/sagrado/0/?q=sagrado,https://media.spreadthesign.com/video/mp4/5/163540.mp4,sagrado,adjetivo,religion
/es.es/word/11744/supersticion/0/?q=superstici%C3%B3n,https://media.spreadthesign.com/video/mp4/5/179847.mp4,superstición,nombre,religion
/es.es/word/11981/ala/0/?q=Al%C3%A1,https://media.spreadthesign.com/video/mp4/5/276014.mp4,Alá,nombre,religion
/es.es/word/11614/encantamiento/0/?q=encantamiento,https://media.spreadthesign.com/video/mp4/5/330858.mp4,encantamiento,nombre,religion
/es.es/word/11149/protestante/0/?q=protestante,https://media.spreadthesign.com/video/mp4/5/192948.mp4,protestante,nombre,religion
/es.es/word/18001/san-jose/0/?q=San+Jos%C3%A9,https://media.spreadthesign.com/video/mp4/5/230240.mp4,San José,nombre,religion
/es.es/word/18213/virgen-maria/0/?q=Virgen+Mar%C3%ADa,https://media.spreadthesign.com/video/mp4/5/230261.mp4,Virgen María,nombre,religion
/es.es/word/18137/los-reyes-magos/0/?q=los+Reyes+Magos,https://media.spreadthesign.com/video/mp4/5/281236.mp4,los Reyes Magos,nombre,religion
/es.es/word/1868/adviento/0/?q=adviento,https://media.spreadthesign.com/video/mp4/5/18564.mp4,adviento,nombre,religion
/es.es/word/1545/bruja/0/?q=bruja,https://media.spreadthesign.com/video/mp4/5/15332.mp4,bruja,nombre,religion
/es.es/word/1590/enganar/0/?q=enga%C3%B1ar,https://media.spreadthesign.com/video/mp4/5/15792.mp4,engañar,verbo,religion
/es.es/word/12877/arte-religioso/0/?q=arte+religioso,https://media.spreadthesign.com/video/mp4/5/278336.mp4,arte religioso,nombre,religion
/es.es/word/12516/diptico/0/?q=d%C3%ADptico,https://media.spreadthesign.com/video/mp4/5/330671.mp4,díptico,nombre,religion
/es.es/word/12169/arrepentido/0/?q=arrepentido,https://media.spreadthesign.com/video/mp4/5/175473.mp4,arrepentido,adjetivo,religion
/es.es/word/1650/monstruo/0/?q=monstruo,https://media.spreadthesign.com/video/mp4/5/16397.mp4,monstruo,nombre,religion
/es.es/word/16573/tauro/0/?q=Tauro,https://media.spreadthesign.com/video/mp4/5/230252.mp4,Tauro,nombre,religion
/es.es/word/16284/cancer/0/?q=C%C3%A1ncer,https://media.spreadthesign.com/video/mp4/5/330489.mp4,Cáncer,nombre,religion
/es.es/word/16285/capricornio/0/?q=Capricornio,https://media.spreadthesign.com/video/mp4/5/330493.mp4,Capricornio,nombre,religion
/es.es/word/16297/geminis/0/?q=G%C3%A9minis,https://media.spreadthesign.com/video/mp4/5/230181.mp4,Géminis,nombre,religion
/es.es/word/16278/acuario/0/?q=Acuario,https://media.spreadthesign.com/video/mp4/5/276013.mp4,Acuario,nombre,religion
/es.es/word/16279/aries/0/?q=Aries,https://media.spreadthesign.com/video/mp4/5/330553.mp4,Aries,nombre,religion
/es.es/word/16277/signos-de-aire/0/?q=signos+de+aire,https://media.spreadthesign.com/video/mp4/5/288132.mp4,signos de aire,nombre,religion
/es.es/word/16409/escorpio/0/?q=Escorpio,https://media.spreadthesign.com/video/mp4/5/330899.mp4,Escorpio,nombre,religion
/es.es/word/1642/magia/0/?q=magia,https://media.spreadthesign.com/video/mp4/5/16319.mp4,magia,nombre,religion
/es.es/word/16694/virgo/0/?q=Virgo,https://media.spreadthesign.com/video/mp4/5/230262.mp4,Virgo,nombre,religion
/es.es/word/16301/leo/0/?q=Leo,https://media.spreadthesign.com/video/mp4/5/230190.mp4,Leo,nombre,religion
/es.es/word/16394/sagitario/0/?q=Sagitario,https://media.spreadthesign.com/video/mp4/5/230238.mp4,Sagitario,nombre,religion
/es.es/word/13812/fenomeno/0/?q=fen%C3%B3meno,https://media.spreadthesign.com/video/mp4/5/272094.mp4,fenómeno,nombre,religion
/es.es/word/1319/religion/0/?q=religi%C3%B3n,https://media.spreadthesign.com/video/mp4/5/13051.mp4,religión,nombre,religion
/es.es/word/13014/triptico/0/?q=tr%C3%ADptico,https://media.spreadthesign.com/video/mp4/5/298726.mp4,tríptico,nombre,religion
/es.es/word/8089/rescatador/0/?q=rescatador,https://media.spreadthesign.com/video/mp4/5/299971.mp4,rescatador,nombre,religion
/es.es/word/8885/hada/0/?q=hada,https://media.spreadthesign.com/video/mp4/5/175608.mp4,hada,nombre,religion
/es.es/word/8208/servicio-religioso/0/?q=servicio+religioso,https://media.spreadthesign.com/video/mp4/5/179747.mp4,servicio religioso,nombre,religion
/es.es/word/8206/temeroso-de-dios/0/?q=temeroso++de+Dios,https://media.spreadthesign.com/video/mp4/5/179557.mp4,temeroso  de Dios,adjetivo,religion
/es.es/word/8207/reino-de-dios/0/?q=reino+de+Dios,https://media.spreadthesign.com/video/mp4/5/217143.mp4,reino de Dios,nombre,religion
/es.es/word/8250/san/0/?q=san,https://media.spreadthesign.com/video/mp4/5/179692.mp4,san,nombre,religion
/es.es/word/8272/hindu/0/?q=hind%C3%BA,https://media.spreadthesign.com/video/mp4/5/175632.mp4,hindú,nombre,religion
/es.es/word/8273/hinduismo/0/?q=hinduismo,https://media.spreadthesign.com/video/mp4/5/175631.mp4,hinduismo,nombre,religion
/es.es/word/8902/destino/0/?q=destino,https://media.spreadthesign.com/video/mp4/5/246593.mp4,destino,nombre,religion
/es.es/word/8114/maldito/0/?q=maldito,https://media.spreadthesign.com/video/mp4/5/475933.mp4,maldito,adjetivo,religion
/es.es/word/8384/mito/0/?q=mito,https://media.spreadthesign.com/video/mp4/5/180038.mp4,mito,nombre,religion
/es.es/word/5812/vampiro/0/?q=vampiro,https://media.spreadthesign.com/video/mp4/5/55394.mp4,vampiro,nombre,religion
/es.es/word/5985/cuenta/0/?q=cuenta,https://media.spreadthesign.com/video/mp4/5/64075.mp4,cuenta,nombre,religion
/es.es/word/5954/bautizar/0/?q=bautizar,https://media.spreadthesign.com/video/mp4/5/55367.mp4,bautizar,verbo,religion
/es.es/word/5956/bar-mitzva/0/?q=bar+mitzv%C3%A1,https://media.spreadthesign.com/video/mp4/5/66111.mp4,bar mitzvá,nombre,religion
/es.es/word/5953/baptista/0/?q=baptista,https://media.spreadthesign.com/video/mp4/5/66485.mp4,baptista,nombre,religion
/es.es/word/5785/devocion/0/?q=devoci%C3%B3n,https://media.spreadthesign.com/video/mp4/5/230397.mp4,devoción,nombre,religion
/es.es/word/5791/corona-de-flores/0/?q=corona+de+flores,https://media.spreadthesign.com/video/mp4/5/56303.mp4,corona de flores,nombre,religion
/es.es/word/5778/deseo/0/?q=deseo,https://media.spreadthesign.com/video/mp4/5/330829.mp4,deseo,nombre,religion
/es.es/word/25746/crucifijo/0/?q=crucifijo,https://media.spreadthesign.com/video/mp4/5/619008.mp4,crucifijo,nombre,religion
/es.es/word/2472/sena/0/?q=se%C3%B1a,https://media.spreadthesign.com/video/mp4/5/24041.mp4,seña,nombre,religion
/es.es/word/21472/cristiano/0/?q=cristiano,https://media.spreadthesign.com/video/mp4/5/299354.mp4,cristiano,adjetivo,religion
/es.es/word/23295/padrino/0/?q=padrino,https://media.spreadthesign.com/video/mp4/5/672558.mp4,padrino,nombre,religion
/es.es/word/23296/madrina/0/?q=madrina,https://media.spreadthesign.com/video/mp4/5/672559.mp4,madrina,nombre,religion
/es.es/word/9085/episcopal/0/?q=episcopal,https://media.spreadthesign.com/video/mp4/5/153142.mp4,episcopal,adjetivo,religion
/es.es/word/9053/elfo/0/?q=elfo,https://media.spreadthesign.com/video/mp4/5/148343.mp4,elfo,nombre,religion
/es.es/word/9008/funeral/0/?q=funeral,https://media.spreadthesign.com/video/mp4/5/175807.mp4,funeral,adjetivo,religion
/es.es/word/9500/mormon/0/?q=Morm%C3%B3n,https://media.spreadthesign.com/video/mp4/5/154850.mp4,Mormón,nombre,religion
/es.es/word/9590/monja/0/?q=monja,https://media.spreadthesign.com/video/mp4/5/132134.mp4,monja,nombre,religion
/es.es/word/9533/misterio/0/?q=misterio,https://media.spreadthesign.com/video/mp4/5/180037.mp4,misterio,nombre,religion
/es.es/word/9202/demonio/0/?q=demonio,https://media.spreadthesign.com/video/mp4/5/151937.mp4,demonio,nombre,religion
/es.es/word/9289/divino/0/?q=divino,https://media.spreadthesign.com/video/mp4/5/330680.mp4,divino,adjetivo,religion
/es.es/word/9232/degenerado/0/?q=degenerado,https://media.spreadthesign.com/video/mp4/5/475718.mp4,degenerado,nombre,religion
/es.es/word/9450/metodista/0/?q=metodista,https://media.spreadthesign.com/video/mp4/5/154807.mp4,metodista,nombre,religion
/es.es/word/9468/pastor-iglesia-protestante/0/?q=pastor+iglesia+protestante,https://media.spreadthesign.com/video/mp4/5/132173.mp4,pastor iglesia protestante,nombre,religion
/es.es/word/9186/dedicar/0/?q=dedicar,https://media.spreadthesign.com/video/mp4/5/230328.mp4,dedicar,verbo,religion
/es.es/word/9115/perverso/0/?q=perverso,https://media.spreadthesign.com/video/mp4/5/154133.mp4,perverso,adjetivo,religion
/es.es/word/9324/dragon/0/?q=drag%C3%B3n,https://media.spreadthesign.com/video/mp4/5/152678.mp4,dragón,nombre,religion
/es.es/word/6054/obispo/0/?q=obispo,https://media.spreadthesign.com/video/mp4/5/55433.mp4,obispo,nombre,religion
/es.es/word/6023/belen/0/?q=Bel%C3%A9n,https://media.spreadthesign.com/video/mp4/5/55390.mp4,Belén,nombre,religion
/es.es/word/6064/bendecir/0/?q=bendecir,https://media.spreadthesign.com/video/mp4/5/64081.mp4,bendecir,verbo,religion
/es.es/word/6031/biblia/0/?q=biblia,https://media.spreadthesign.com/video/mp4/5/55424.mp4,biblia,nombre,religion
/es.es/word/6740/cielo/0/?q=cielo,https://media.spreadthesign.com/video/mp4/5/55463.mp4,cielo,nombre,religion
/es.es/word/6745/infierno/0/?q=infierno,https://media.spreadthesign.com/video/mp4/5/55466.mp4,infierno,nombre,religion
/es.es/word/6742/hebreo/0/?q=Hebreo,https://media.spreadthesign.com/video/mp4/5/55465.mp4,Hebreo,adjetivo,religion
/es.es/word/6749/heroe/0/?q=h%C3%A9roe,https://media.spreadthesign.com/video/mp4/5/55024.mp4,héroe,nombre,religion
/es.es/word/6725/rondar/0/?q=rondar,https://media.spreadthesign.com/video/mp4/5/56497.mp4,rondar,verbo,religion
/es.es/word/6777/santo/0/?q=santo,https://media.spreadthesign.com/video/mp4/5/55486.mp4,santo,adjetivo,religion
/es.es/word/6466/subir/0/?q=subir,https://media.spreadthesign.com/video/mp4/5/57988.mp4,subir,verbo,religion
/es.es/word/6190/enterrar/0/?q=enterrar,https://media.spreadthesign.com/video/mp4/5/57311.mp4,enterrar,verbo,religion
/es.es/word/6851/dios/0/?q=Dios,https://media.spreadthesign.com/video/mp4/5/56384.mp4,Dios,nombre,religion
/es.es/word/6814/himno/0/?q=himno,https://media.spreadthesign.com/video/mp4/5/55507.mp4,himno,nombre,religion
/es.es/word/6547/incienso/0/?q=incienso,https://media.spreadthesign.com/video/mp4/5/175673.mp4,incienso,nombre,religion
/es.es/word/6280/catolico/0/?q=cat%C3%B3lico,https://media.spreadthesign.com/video/mp4/5/56349.mp4,católico,adjetivo,religion
/es.es/word/6296/cementerio/0/?q=cementerio,https://media.spreadthesign.com/video/mp4/5/56352.mp4,cementerio,nombre,religion
/es.es/word/6997/converso/0/?q=converso,https://media.spreadthesign.com/video/mp4/5/278783.mp4,converso,nombre,religion
/es.es/word/6926/orden/0/?q=orden,https://media.spreadthesign.com/video/mp4/5/202497.mp4,orden,nombre,religion
/es.es/word/6933/comunion/0/?q=comuni%C3%B3n,https://media.spreadthesign.com/video/mp4/5/278636.mp4,comunión,nombre,religion
/es.es/word/6623/israel/0/?q=Israel,https://media.spreadthesign.com/video/mp4/5/55728.mp4,Israel,nombre,religion
/es.es/word/6679/kosher/0/?q=kosher,https://media.spreadthesign.com/video/mp4/5/171532.mp4,kosher,adjetivo,religion
/es.es/word/6640/judio/0/?q=jud%C3%ADo,https://media.spreadthesign.com/video/mp4/5/56395.mp4,judío,adjetivo,religion
/es.es/word/6636/judio/0/?q=jud%C3%ADo,https://media.spreadthesign.com/video/mp4/5/56394.mp4,judío,nombre,religion
/es.es/word/6633/jesus/0/?q=Jes%C3%BAs,https://media.spreadthesign.com/video/mp4/5/56392.mp4,Jesús,nombre,religion
/es.es/word/6311/januca/0/?q=januc%C3%A1,https://media.spreadthesign.com/video/mp4/5/56364.mp4,janucá,nombre,religion
/es.es/word/6312/capilla/0/?q=capilla,https://media.spreadthesign.com/video/mp4/5/56359.mp4,capilla,nombre,religion
/es.es/word/6362/cristo/0/?q=Cristo,https://media.spreadthesign.com/video/mp4/5/64780.mp4,Cristo,nombre,religion
/es.es/word/3514/folklore/0/?q=folklore,https://media.spreadthesign.com/video/mp4/5/32184.mp4,folklore,nombre,religion
/es.es/word/3774/ordenacion/0/?q=ordenaci%C3%B3n,https://media.spreadthesign.com/video/mp4/5/34107.mp4,ordenación,nombre,religion
/es.es/word/3451/iglesia/0/?q=iglesia,https://media.spreadthesign.com/video/mp4/5/31706.mp4,iglesia,nombre,religion
/es.es/word/3452/catedral/0/?q=catedral,https://media.spreadthesign.com/video/mp4/5/31714.mp4,catedral,nombre,religion
/es.es/word/3902/fantasma/0/?q=fantasma,https://media.spreadthesign.com/video/mp4/5/35031.mp4,fantasma,nombre,religion
/es.es/word/3969/secta/0/?q=secta,https://media.spreadthesign.com/video/mp4/5/35363.mp4,secta,nombre,religion
/es.es/word/7006/correlacionar/0/?q=correlacionar,https://media.spreadthesign.com/video/mp4/5/271430.mp4,correlacionar,verbo,lenguaje
/es.es/word/7007/corresponder/0/?q=corresponder,https://media.spreadthesign.com/video/mp4/5/271437.mp4,corresponder,verbo,lenguaje
/es.es/word/7088/objecion/0/?q=objeci%C3%B3n,https://media.spreadthesign.com/video/mp4/5/173759.mp4,objeción,nombre,lenguaje
/es.es/word/7082/lindo/0/?q=lindo,https://media.spreadthesign.com/video/mp4/5/65604.mp4,lindo,adjetivo,lenguaje
/es.es/word/7087/juramento/0/?q=juramento,https://media.spreadthesign.com/video/mp4/5/171528.mp4,juramento,nombre,lenguaje
/es.es/word/7057/multitud/0/?q=multitud,https://media.spreadthesign.com/video/mp4/5/154877.mp4,multitud,nombre,lenguaje
/es.es/word/7027/cortesia/0/?q=cortes%C3%ADa,https://media.spreadthesign.com/video/mp4/5/58161.mp4,cortesía,nombre,lenguaje
/es.es/word/7090/observar/0/?q=observar,https://media.spreadthesign.com/video/mp4/5/154890.mp4,observar,verbo,lenguaje
/es.es/word/7095/obvio/0/?q=obvio,https://media.spreadthesign.com/video/mp4/5/388753.mp4,obvio,adjetivo,lenguaje
/es.es/word/7097/ocurrir/0/?q=ocurrir,https://media.spreadthesign.com/video/mp4/5/154920.mp4,ocurrir,verbo,lenguaje
/es.es/word/7091/obstaculo/0/?q=obst%C3%A1culo,https://media.spreadthesign.com/video/mp4/5/154892.mp4,obstáculo,nombre,lenguaje
/es.es/word/7096/ocupar/0/?q=ocupar,https://media.spreadthesign.com/video/mp4/5/154918.mp4,ocupar,verbo,lenguaje
/es.es/word/7062/cruzada/0/?q=cruzada,https://media.spreadthesign.com/video/mp4/5/475705.mp4,cruzada,nombre,lenguaje
/es.es/word/7038/mania/0/?q=man%C3%ADa,https://media.spreadthesign.com/video/mp4/5/154143.mp4,manía,nombre,lenguaje
/es.es/word/7776/asistencia/0/?q=asistencia,https://media.spreadthesign.com/video/mp4/5/433833.mp4,asistencia,nombre,lenguaje
/es.es/word/7748/recompensar/0/?q=recompensar,https://media.spreadthesign.com/video/mp4/5/215631.mp4,recompensar,verbo,lenguaje
/es.es/word/7745/confesar/0/?q=confesar,https://media.spreadthesign.com/video/mp4/5/151024.mp4,confesar,verbo,lenguaje
/es.es/word/7743/confirmacion/0/?q=confirmaci%C3%B3n,https://media.spreadthesign.com/video/mp4/5/278685.mp4,confirmación,nombre,lenguaje
/es.es/word/7784/embuste/0/?q=embuste,https://media.spreadthesign.com/video/mp4/5/183216.mp4,embuste,nombre,lenguaje
/es.es/word/7789/mirar-con-malicia/0/?q=mirar+con+malicia,https://media.spreadthesign.com/video/mp4/5/154830.mp4,mirar con malicia,verbo,lenguaje
/es.es/word/7787/soplar/0/?q=soplar,https://media.spreadthesign.com/video/mp4/5/475589.mp4,soplar,verbo,lenguaje
/es.es/word/7758/denegar/0/?q=denegar,https://media.spreadthesign.com/video/mp4/5/154356.mp4,denegar,verbo,lenguaje
/es.es/word/7755/inspeccion/0/?q=inspecci%C3%B3n,https://media.spreadthesign.com/video/mp4/5/175704.mp4,inspección,nombre,lenguaje
/es.es/word/7757/parecido/0/?q=parecido,https://media.spreadthesign.com/video/mp4/5/128033.mp4,parecido,adjetivo,lenguaje
/es.es/word/7728/existencia/0/?q=existencia,https://media.spreadthesign.com/video/mp4/5/152988.mp4,existencia,nombre,lenguaje
/es.es/word/7722/sacar-conclusiones/0/?q=sacar+conclusiones,https://media.spreadthesign.com/video/mp4/5/163450.mp4,sacar conclusiones,verbo,lenguaje
/es.es/word/7727/existente/0/?q=existente,https://media.spreadthesign.com/video/mp4/5/236508.mp4,existente,adjetivo,lenguaje
/es.es/word/7794/deletrear/0/?q=deletrear,https://media.spreadthesign.com/video/mp4/5/151919.mp4,deletrear,verbo,lenguaje
/es.es/word/7799/deberia/0/?q=deber%C3%ADa,https://media.spreadthesign.com/video/mp4/5/164404.mp4,debería,verbo,lenguaje
/es.es/word/7765/consideracion/0/?q=consideraci%C3%B3n,https://media.spreadthesign.com/video/mp4/5/330652.mp4,consideración,nombre,lenguaje
/es.es/word/7764/significar/0/?q=significar,https://media.spreadthesign.com/video/mp4/5/163599.mp4,significar,verbo,lenguaje
/es.es/word/7763/enfatizar/0/?q=enfatizar,https://media.spreadthesign.com/video/mp4/5/235833.mp4,enfatizar,verbo,lenguaje
/es.es/word/7738/necesidad/0/?q=necesidad,https://media.spreadthesign.com/video/mp4/5/154353.mp4,necesidad,nombre,lenguaje
/es.es/word/7735/limitado/0/?q=limitado,https://media.spreadthesign.com/video/mp4/5/154325.mp4,limitado,adjetivo,lenguaje
/es.es/word/7737/demandar/0/?q=demandar,https://media.spreadthesign.com/video/mp4/5/412568.mp4,demandar,verbo,lenguaje
/es.es/word/7734/limitar/0/?q=limitar,https://media.spreadthesign.com/video/mp4/5/154326.mp4,limitar,verbo,lenguaje
/es.es/word/7739/idoneo/0/?q=id%C3%B3neo,https://media.spreadthesign.com/video/mp4/5/154061.mp4,idóneo,adjetivo,lenguaje
/es.es/word/7470/gracia/0/?q=gracia,https://media.spreadthesign.com/video/mp4/5/179390.mp4,gracia,nombre,lenguaje
/es.es/word/7471/grado/0/?q=grado,https://media.spreadthesign.com/video/mp4/5/330801.mp4,grado,nombre,lenguaje
/es.es/word/744/mezclar/0/?q=mezclar,https://media.spreadthesign.com/video/mp4/5/7432.mp4,mezclar,verbo,lenguaje
/es.es/word/7444/echar-una-ojeada/0/?q=echar+una+ojeada,https://media.spreadthesign.com/video/mp4/5/67336.mp4,echar una ojeada,verbo,lenguaje
/es.es/word/7449/gloria/0/?q=gloria,https://media.spreadthesign.com/video/mp4/5/70450.mp4,gloria,nombre,lenguaje
/es.es/word/7446/ojeada/0/?q=ojeada,https://media.spreadthesign.com/video/mp4/5/173777.mp4,ojeada,nombre,lenguaje
/es.es/word/7417/reunir/0/?q=reunir,https://media.spreadthesign.com/video/mp4/5/217256.mp4,reunir,verbo,lenguaje
/es.es/word/7480/grandioso/0/?q=grandioso,https://media.spreadthesign.com/video/mp4/5/58025.mp4,grandioso,adjetivo,lenguaje
/es.es/word/7486/agarre/0/?q=agarre,https://media.spreadthesign.com/video/mp4/5/440539.mp4,agarre,nombre,lenguaje
/es.es/word/7483/conceder/0/?q=conceder,https://media.spreadthesign.com/video/mp4/5/155521.mp4,conceder,verbo,lenguaje
/es.es/word/7452/ir/0/?q=ir,https://media.spreadthesign.com/video/mp4/5/57979.mp4,ir,verbo,lenguaje
/es.es/word/7425/generar/0/?q=generar,https://media.spreadthesign.com/video/mp4/5/179353.mp4,generar,verbo,lenguaje
/es.es/word/7498/molido/0/?q=molido,https://media.spreadthesign.com/video/mp4/5/180045.mp4,molido,nombre,lenguaje
/es.es/word/7499/aferrar/0/?q=aferrar,https://media.spreadthesign.com/video/mp4/5/475141.mp4,aferrar,verbo,lenguaje
/es.es/word/7497/sonrisa/0/?q=sonrisa,https://media.spreadthesign.com/video/mp4/5/179835.mp4,sonrisa,verbo,lenguaje
/es.es/word/7464/cotilla/0/?q=cotilla,https://media.spreadthesign.com/video/mp4/5/70465.mp4,cotilla,nombre,lenguaje
/es.es/word/7437/regalo/0/?q=regalo,https://media.spreadthesign.com/video/mp4/5/70448.mp4,regalo,nombre,lenguaje
/es.es/word/7435/gesto/0/?q=gesto,https://media.spreadthesign.com/video/mp4/5/70449.mp4,gesto,nombre,lenguaje
/es.es/word/743/flamear/0/?q=flamear,https://media.spreadthesign.com/video/mp4/5/7426.mp4,flamear,verbo,lenguaje
/es.es/word/7102/omitir/0/?q=omitir,https://media.spreadthesign.com/video/mp4/5/173780.mp4,omitir,verbo,lenguaje
/es.es/word/7107/unico/0/?q=%C3%BAnico,https://media.spreadthesign.com/video/mp4/5/55801.mp4,único,adjetivo,lenguaje
/es.es/word/7109/hacia-delante/0/?q=hacia+delante,https://media.spreadthesign.com/video/mp4/5/301146.mp4,hacia delante,adjetivo,lenguaje
